longitud,latitud
-67.534588,-35.008045
-68.295705,-34.610682
-68.286493,-34.616536
-68.286493,-34.616536
-68.286493,-34.616536
-68.286493,-34.616536
-69.020074,-33.598131
-69.131430,-33.739682
-69.131430,-33.739682
-69.095955,-33.748190
-68.273915,-34.616746
-68.273915,-34.616746
-68.101488,-34.670223
-68.273915,-34.616746
-68.273915,-34.616746
-68.273915,-34.616746
-68.273915,-34.616746
-68.273915,-34.616746
-69.075053,-33.892855
-67.927832,-34.834415
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-69.056198,-33.579351
-68.711826,-35.041758
-68.368607,-34.699189
-68.324845,-34.623370
-69.045200,-33.774824
-68.374392,-34.618819
-68.374392,-34.618819
-68.322768,-34.595219
-68.189601,-34.743476
-67.700884,-34.979884
-69.009189,-33.601845
-67.694151,-34.975671
-67.694151,-34.975671
-68.335809,-34.593837
-68.335809,-34.593837
-68.345102,-34.629868
-68.322191,-34.598413
-68.376037,-34.634900
-69.012340,-33.594497
-67.706645,-34.978249
-69.587216,-35.476873
-68.238045,-34.719507
-68.238045,-34.719507
-69.593221,-35.495492
-69.593221,-35.495492
-68.228003,-34.722643
-68.228003,-34.722643
-69.568748,-35.079408
-68.335671,-34.591363
-68.335671,-34.591363
-68.237931,-34.720084
-68.237931,-34.720084
-69.059704,-33.598349
-67.688443,-34.972772
-67.688443,-34.972772
-67.688443,-34.972772
-67.688443,-34.972772
,
,
,
,
,
-68.227386,-34.724004
-68.227386,-34.724004
-68.342269,-34.625842
-68.230722,-34.724990
-68.230722,-34.724990
-67.688017,-34.971387
-68.351674,-34.630762
-68.235502,-34.719758
-68.235502,-34.719758
-68.221924,-34.719158
-68.221924,-34.719158
-69.590492,-35.480515
-67.671998,-34.985314
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-69.025902,-33.591880
-67.701057,-34.979463
-68.337323,-34.594592
-69.135783,-33.351593
-69.005371,-33.581730
-69.012377,-33.575684
-69.012377,-33.575684
-69.012377,-33.575684
-69.012377,-33.575684
-69.587227,-35.436574
-68.342568,-34.614586
-69.156536,-33.647596
,
,
,
-68.693037,-35.027386
-69.059875,-33.780750
-68.323959,-34.627856
-69.038591,-33.761391
-68.311638,-34.627169
-68.311638,-34.627169
-69.138575,-33.352506
-69.575095,-35.480198
-67.685759,-34.971995
-68.334918,-34.610793
-68.334918,-34.610793
-69.134592,-33.457422
-67.684923,-34.953175
-68.310505,-34.606267
-68.310505,-34.606267
-68.310505,-34.606267
-68.310505,-34.606267
-68.299395,-34.615425
-69.100683,-33.587560
-68.329656,-34.637349
-69.585029,-35.465757
-69.064766,-33.777545
-69.578488,-35.471498
-69.586811,-35.455270
-68.353026,-34.627065
-69.114771,-33.741130
-69.578401,-35.502262
-67.700839,-34.980100
-69.039123,-33.768052
-68.285022,-34.615775
-68.406742,-34.603222
-68.406742,-34.603222
-68.353506,-34.633655
-68.410268,-34.614784
-69.147380,-33.718706
-69.156940,-33.653283
-68.415225,-34.592648
-68.682894,-35.029297
-69.014264,-33.579294
-68.255910,-34.649525
-69.183615,-33.367765
-69.578038,-35.467665
-68.297783,-34.580907
-68.308291,-34.629906
-69.586811,-35.455270
-68.387028,-34.508298
-67.679414,-34.988387
-69.150468,-33.378770
-69.026272,-33.591658
-67.680507,-34.970399
-68.275423,-34.618918
-69.012900,-33.585211
-69.042370,-33.774972
